DBIbiofilm10_CTAGTC-K37J4_L001	DBIbiofilm9_TATCAT-K37J4_L001	VD-DBIbiofilm-ech64_TGCGGG-JNFP8_L001	VD-DBIbiofilm-ech65_TCTATG-JNFP8_L001
Cluster_1	17516	410	395	22825
Cluster_2	4289	567	1025	7132
Cluster_3	798	2553	5310	2512
Cluster_4	244	3270	5770	316
Cluster_5	224	2573	4700	357
Cluster_6	33	1502	3104	8
Cluster_7	1	314	1296	3
Cluster_8	29	492	826	0
Cluster_63	0	0	6	77
Cluster_103	0	14	11	0
Cluster_166	1	1	0	20
Cluster_169	0	0	0	23
Cluster_191	0	12	1	3
Cluster_317	3	13	0	0
Cluster_245	0	0	0	20
Cluster_251	0	7	3	1
Cluster_167	0	0	0	10
Cluster_391	0	3	7	0
Cluster_1807	0	8	2	0
Cluster_153	0	0	0	9
Cluster_207	0	0	0	9
Cluster_209	0	0	0	9
Cluster_275	2	1	0	6
Cluster_203	0	0	0	8
Cluster_204	0	0	0	22
Cluster_264	0	2	6	0
Cluster_189	7	0	0	0
Cluster_253	0	6	0	0
Cluster_283	0	3	3	0
Cluster_373	0	4	2	0
Cluster_386	0	1	5	0
Cluster_295	0	0	0	5
Cluster_301	0	0	0	5
Cluster_367	0	0	0	5
Cluster_368	0	1	0	4
Cluster_375	0	0	0	5
Cluster_376	0	0	0	5
Cluster_422	0	5	0	0
Cluster_472	0	1	4	0
Cluster_750	8	0	0	2
