species;nb_seq;ech;;
other;0;6310;;STD6310
other;0;6300;;STD6300
other;0;6300_VD;;STD6300_VD
other;9;6310_VD;;STD6310_VD
other;0;6310;;STD6310
other;0;6300;;STD6300
other;0;6300_VD;;STD6300_VD
other;5;6310_VD;;STD6310_VD
other;0;6310;;STD6310
other;0;6300;;STD6300
other;0;6300_VD;;STD6300_VD
other;20;6310_VD;;STD6310_VD
other;0;6310;;STD6310
other;0;6300;;STD6300
other;6;6300_VD;;STD6300_VD
other;77;6310_VD;;STD6310_VD
other;0;6310;;STD6310
other;0;6300;;STD6300
other;0;6300_VD;;STD6300_VD
other;5;6310_VD;;STD6310_VD
other;0;6310;;STD6310
other;0;6300;;STD6300
other;0;6300_VD;;STD6300_VD
other;23;6310_VD;;STD6310_VD
Bacillus subtilis;799;6310;;STD6310
Bacillus subtilis;2608;6300;;STD6300
Bacillus subtilis;5350;6300_VD;;STD6300_VD
Bacillus subtilis;2536;6310_VD;;STD6310_VD
other;0;6310;;STD6310
other;0;6300;;STD6300
other;0;6300_VD;;STD6300_VD
other;22;6310_VD;;STD6310_VD
other;0;6310;;STD6310
other;0;6300;;STD6300
other;0;6300_VD;;STD6300_VD
other;8;6310_VD;;STD6310_VD
other;0;6310;;STD6310
other;0;6300;;STD6300
other;0;6300_VD;;STD6300_VD
other;5;6310_VD;;STD6310_VD
other;3;6310;;STD6310
other;13;6300;;STD6300
other;0;6300_VD;;STD6300_VD
other;0;6310_VD;;STD6310_VD
Enterococcus faecalis;1;6310;;STD6310
Enterococcus faecalis;314;6300;;STD6300
Enterococcus faecalis;1296;6300_VD;;STD6300_VD
Enterococcus faecalis;3;6310_VD;;STD6310_VD
Escherichia coli;224;6310;;STD6310
Escherichia coli;2579;6300;;STD6300
Escherichia coli;4700;6300_VD;;STD6300_VD
Escherichia coli;357;6310_VD;;STD6310_VD
Limosilactobacillus fermentum;33;6310;;STD6310
Limosilactobacillus fermentum;1503;6300;;STD6300
Limosilactobacillus fermentum;3108;6300_VD;;STD6300_VD
Limosilactobacillus fermentum;8;6310_VD;;STD6310_VD
Listeria monocytogenes;17518;6310;;STD6310
Listeria monocytogenes;412;6300;;STD6300
Listeria monocytogenes;395;6300_VD;;STD6300_VD
Listeria monocytogenes;22835;6310_VD;;STD6310_VD
other;0;6310;;STD6310
other;0;6300;;STD6300
other;0;6300_VD;;STD6300_VD
other;5;6310_VD;;STD6310_VD
other;0;6310;;STD6310
other;0;6300;;STD6300
other;0;6300_VD;;STD6300_VD
other;9;6310_VD;;STD6310_VD
Pseudomonas aeruginosa;4289;6310;;STD6310
Pseudomonas aeruginosa;567;6300;;STD6300
Pseudomonas aeruginosa;1025;6300_VD;;STD6300_VD
Pseudomonas aeruginosa;7132;6310_VD;;STD6310_VD
Salmonella enterica;244;6310;;STD6310
Salmonella enterica;3275;6300;;STD6300
Salmonella enterica;5770;6300_VD;;STD6300_VD
Salmonella enterica;316;6310_VD;;STD6310_VD
other;7;6310;;STD6310
other;0;6300;;STD6300
other;0;6300_VD;;STD6300_VD
other;0;6310_VD;;STD6310_VD
Staphylococcus aureus;29;6310;;STD6310
Staphylococcus aureus;492;6300;;STD6300
Staphylococcus aureus;826;6300_VD;;STD6300_VD
Staphylococcus aureus;0;6310_VD;;STD6310_VD
other;0;6310;;STD6310
other;0;6300;;STD6300
other;0;6300_VD;;STD6300_VD
other;10;6310_VD;;STD6310_VD
other;0;6310;;STD6310
other;0;6300;;STD6300
other;0;6300_VD;;STD6300_VD
other;9;6310_VD;;STD6310_VD
other;0;6310;;STD6310
other;0;6300;;STD6300
other;0;6300_VD;;STD6300_VD
other;5;6310_VD;;STD6310_VD
other;8;6310;;STD6310
other;0;6300;;STD6300
other;0;6300_VD;;STD6300_VD
other;2;6310_VD;;STD6310_VD
