species;nb_seq;ech;ech_d
Listeria monocytogenes;17505;6310_SILVA;6310_d1
Escherichia coli;4536;6310_SILVA;6310_d1
Bacillus subtilis;770;6310_SILVA;6310_d1
Salmonella enterica;230;6310_SILVA;6310_d1
Limosilactobacillus fermentum;33;6310_SILVA;6310_d1
Staphylococcus aureus;27;6310_SILVA;6310_d1
Enterococcus faecalis;0;6310_SILVA;6310_d1
Enterobacter sp.;0;6310_SILVA;6310_d1
Brochothrix sp.;0;6310_SILVA;6310_d1
Fermentibacillus polygoni;0;6310_SILVA;6310_d1
Listeria monocytogenes;0;6310_SILVA;6310_d1
Bacillus subtilis;0;6310_SILVA;6310_d1
Aliarcobacter cryaerophilus;0;6310_SILVA;6310_d1
Listeria monocytogenes;400;6300_SILVA;6300_d1
Escherichia coli;3540;6300_SILVA;6300_d1
Bacillus subtilis;2421;6300_SILVA;6300_d1
Salmonella enterica;3688;6300_SILVA;6300_d1
Limosilactobacillus fermentum;1428;6300_SILVA;6300_d1
Staphylococcus aureus;459;6300_SILVA;6300_d1
Enterococcus faecalis;281;6300_SILVA;6300_d1
Enterobacter sp.;132;6300_SILVA;6300_d1
Bacillus subtilis;94;6300_SILVA;6300_d1
Brochothrix sp.;55;6300_SILVA;6300_d1
Fermentibacillus polygoni;50;6300_SILVA;6300_d1
Listeria monocytogenes;38;6300_SILVA;6300_d1
Bacillus subtilis;0;6300_SILVA;6300_d1
Aliarcobacter cryaerophilus;0;6300_SILVA;6300_d1
Listeria monocytogenes;393;6300_VD_SILVA;6300_VD_d1
Escherichia coli;6285;6300_VD_SILVA;6300_VD_d1
Bacillus subtilis;5233;6300_VD_SILVA;6300_VD_d1
Salmonella enterica;6209;6300_VD_SILVA;6300_VD_d1
Limosilactobacillus fermentum;3059;6300_VD_SILVA;6300_VD_d1
Staphylococcus aureus;797;6300_VD_SILVA;6300_VD_d1
Enterococcus faecalis;1217;6300_VD_SILVA;6300_VD_d1
Enterobacter sp.;150;6300_VD_SILVA;6300_VD_d1
Bacillus subtilis;135;6300_VD_SILVA;6300_VD_d1
Brochothrix sp.;0;6300_VD_SILVA;6300_VD_d1
Fermentibacillus polygoni;0;6300_VD_SILVA;6300_VD_d1
Listeria monocytogenes;0;6300_VD_SILVA;6300_VD_d1
Bacillus subtilis;130;6300_VD_SILVA;6300_VD_d1
Aliarcobacter cryaerophilus;0;6300_VD_SILVA;6300_VD_d1
Listeria monocytogenes;22805;6310_VD_SILVA;6310_VD_d1
Escherichia coli;7498;6310_VD_SILVA;6310_VD_d1
Bacillus subtilis;2481;6310_VD_SILVA;6310_VD_d1
Salmonella enterica;286;6310_VD_SILVA;6310_VD_d1
Limosilactobacillus fermentum;0;6310_VD_SILVA;6310_VD_d1
Staphylococcus aureus;0;6310_VD_SILVA;6310_VD_d1
Enterococcus faecalis;0;6310_VD_SILVA;6310_VD_d1
Enterobacter sp.;0;6310_VD_SILVA;6310_VD_d1
Bacillus subtilis;0;6310_VD_SILVA;6310_VD_d1
Brochothrix sp.;138;6310_VD_SILVA;6310_VD_d1
Fermentibacillus polygoni;175;6310_VD_SILVA;6310_VD_d1
Listeria monocytogenes;0;6310_VD_SILVA;6310_VD_d1
Bacillus subtilis;0;6310_VD_SILVA;6310_VD_d1
Aliarcobacter cryaerophilus;88;6310_VD_SILVA;6310_VD_d1
