species;nb_seq;ech;ech_d
Listeria monocytogenes;17519;STD6310_d3;6310_d3
Escherichia coli;4569;STD6310_d3;6310_d3
Bacillus subtilis;800;STD6310_d3;6310_d3
Salmonella enterica;243;STD6310_d3;6310_d3
Limosilactobacillus fermentum;33;STD6310_d3;6310_d3
Staphylococcus aureus;29;STD6310_d3;6310_d3
Fermentibacillus polygoni;0;STD6310_d3;6310_d3
Brochothrix sp.;0;STD6310_d3;6310_d3
Enterococcus faecalis;0;STD6310_d3;6310_d3
Cirocbacter freundii;0;STD6310_d3;6310_d3
Listeria monocytogenes;0;STD6310_d3;6310_d3
Bacillus subtilis;0;STD6310_d3;6310_d3
Bacillus altitudinis;0;STD6310_d3;6310_d3
Staphylococcus aureus;0;STD6310_d3;6310_d3
Listeria monocytogenes;406;STD6300_d3;6300_d3
Escherichia coli;3142;STD6300_d3;6300_d3
Bacillus subtilis;2588;STD6300_d3;6300_d3
Salmonella enterica;3904;STD6300_d3;6300_d3
Limosilactobacillus fermentum;1501;STD6300_d3;6300_d3
Staphylococcus aureus;501;STD6300_d3;6300_d3
Fermentibacillus polygoni;67;STD6300_d3;6300_d3
Brochothrix sp.;68;STD6300_d3;6300_d3
Enterococcus faecalis;317;STD6300_d3;6300_d3
Cirocbacter freundii;0;STD6300_d3;6300_d3
Listeria monocytogenes;37;STD6300_d3;6300_d3
Bacillus subtilis;54;STD6300_d3;6300_d3
Bacillus altitudinis;126;STD6300_d3;6300_d3
Staphylococcus aureus;53;STD6300_d3;6300_d3
Listeria monocytogenes;397;STD6300_VDU_d3;6300_VD_d3
Escherichia coli;5723;STD6300_VDU_d3;6300_VD_d3
Bacillus subtilis;5334;STD6300_VDU_d3;6300_VD_d3
Salmonella enterica;6411;STD6300_VDU_d3;6300_VD_d3
Limosilactobacillus fermentum;3113;STD6300_VDU_d3;6300_VD_d3
Staphylococcus aureus;838;STD6300_VDU_d3;6300_VD_d3
Fermentibacillus polygoni;65;STD6300_VDU_d3;6300_VD_d3
Brochothrix sp.;44;STD6300_VDU_d3;6300_VD_d3
Enterococcus faecalis;1310;STD6300_VDU_d3;6300_VD_d3
Cirocbacter freundii;49;STD6300_VDU_d3;6300_VD_d3
Listeria monocytogenes;27;STD6300_VDU_d3;6300_VD_d3
Bacillus subtilis;197;STD6300_VDU_d3;6300_VD_d3
Bacillus altitudinis;189;STD6300_VDU_d3;6300_VD_d3
Staphylococcus aureus;50;STD6300_VDU_d3;6300_VD_d3
Listeria monocytogenes;22814;STD6310_VDU_d3;6310_VD_d3
Escherichia coli;7508;STD6310_VDU_d3;6310_VD_d3
Bacillus subtilis;2530;STD6310_VDU_d3;6310_VD_d3
Salmonella enterica;322;STD6310_VDU_d3;6310_VD_d3
Limosilactobacillus fermentum;0;STD6310_VDU_d3;6310_VD_d3
Staphylococcus aureus;0;STD6310_VDU_d3;6310_VD_d3
Fermentibacillus polygoni;194;STD6310_VDU_d3;6310_VD_d3
Brochothrix sp.;168;STD6310_VDU_d3;6310_VD_d3
Enterococcus faecalis;0;STD6310_VDU_d3;6310_VD_d3
Cirocbacter freundii;0;STD6310_VDU_d3;6310_VD_d3
Listeria monocytogenes;0;STD6310_VDU_d3;6310_VD_d3
Bacillus subtilis;0;STD6310_VDU_d3;6310_VD_d3
Bacillus altitudinis;0;STD6310_VDU_d3;6310_VD_d3
Staphylococcus aureus;0;STD6310_VDU_d3;6310_VD_d3
