;nb_seq
209_Prevotella sp.;9
204_Bacteroides uniformis;22
167_Proteiniphilum sp.;10
153_Rikenellaceae sp.;9
169_Arcobacter sp.;23
63_Aliarcobacter cryaerophilus;83
375_Arcobacter faecis;5
1807_Bacillus subtilis;10
3_Bacillus subtilis;11173
166_Bacillus subtilis;22
103_Bacillus subtilis;25
264_Bacillus subtilis;8
373_Bacillus subtilis;6
391_Bacillus subtilis;10
283_Bacillus subtilis;6
386_Bacillus subtilis;6
191_Bacillus subtilis;16
251_Bacillus subtilis;11
275_Listeria monocytogenes;9
1_Listeria monocytogenes;41146
368_Listeria monocytogenes;5
7_Enterococcus faecalis;1614
6_Limosilactobacillus fermentum;4647
472_Limosilactobacillus fermentum;5
8_Staphylococcus aureus;1347
203_Christensenellaceae R-7 group;8
367_metagenome;5
376_Comamonas sp.;5
207_Acidovorax sp.;9
301_Simplicispira sp.;5
750_Undibacterium sp.;10
5_Escherichia coli;7854
253_Escherichia coli;6
4_Salmonella enterica;9600
422_Salmonella enterica;5
245_Aeromonas sp.;20
189_Serratia sp.;7
295_Acinetobacter sp.;5
2_Pseudomonas aeruginosa;13013
317_Cutibacterium acnes;16
